username,bio,followers,following,posts,account_age_days,has_profile_pic,has_url,is_fake
szl28602501,,8,50,2,22,0,1,1
free_rkllj_579,,23,4066,0,77,0,1,1
vtx63623074,.,2,50,2,20,1,1,1
xrk64mgj78jp3htn,Follow me I follow back! F4F! 🔥🔥🔥,3,2990,0,7,0,1,1
user279298,.,8,187,0,26,0,1,1
the_layla,Mom of 2 | swimming | Coffee addict ☕,124,220,13,626,1,0,0
user906605,Crypto millionaire 💎🙌 Join my course!,6,883,13,16,0,1,1
luca_90,Just a chill soul exploring the world 🌍 | surfing,11037,174,6,452,0,0,0
scarlettking,Bookworm 📚 | swimming | running | Introvert at heart,401,39,81,421,1,0,0
zoeyhill,Dreamer & doer ✨ | meditation | Chicago,949,17,9,943,1,0,0
jack_nguyen,Dreamer & doer ✨ | skateboarding | Tokyo,112,837,73,296,1,0,0
fms49190903,,67,190,0,4,1,1,1
mqpjbmwmnohg3vtl1,Make $5000/day working from home! Link below 👇,37,121,1,10,1,1,1
x8z8trtm477y6zle,Follow me I follow back! F4F! 🔥🔥🔥,32,1939,7,3,0,0,1
alexander_torres,Mom of 2 | camping | Coffee addict ☕,164,118,67,212,0,1,0
jayden.torres,creative | music | running | San Francisco 📍,457,201,52,1312,1,1,0
lily_king,🎵 Music lover | Chef | cooking,35,490,18,707,1,1,0
follow_me_962192,Crypto millionaire 💎🙌 Join my course!,23,932,5,1,0,1,1
real_humcpu1075,Make $5000/day working from home! Link below 👇,14,158,6,7,0,1,1
mason_nguyen,Love reading and swimming 🌟 | Miami based,32,120,38,765,1,0,0
caleb_ramirez,Entrepreneur 💼 | Family first ❤️ | dance,70,1610,65,1004,1,1,0
real_rcooiq9258,Make $5000/day working from home! Link below 👇,5,2417,2,35,0,1,1
free_gxgef_699,,19,50,7,24,1,1,1
user942306,Free gift cards! Limited time offer! Click NOW!,1,2252,7,34,1,0,1
theodore_96,"Marketing Lead by day, travel lover by night 🌙",480,108,34,774,1,0,0
jfqk3508ynf,Crypto millionaire 💎🙌 Join my course!,14,5407,1,71,0,0,1
luca.young,Living life one skiing at a time 🏔️,499,81,55,941,1,0,0
elena.garcia,Architect 💼 | Family first ❤️ | writing,406,507,94,593,1,1,0
zzt49994324,....,21,50,5,54,1,0,1
xqpq8r4hc7jvlcg1,Buy followers cheap! DM for prices!,0,233,4,9,0,0,1
paisley.lopez.official,Dreamer & doer ✨ | photography | Dubai,30,111,90,759,1,0,0
xj269sye6hg4lz95,Click link in bio for FREE money 💰💰💰,18,93,0,1,0,1,1
bnu88142493,Adult content 🔞 Link below for more,8,127,7,76,0,1,1
ont89052276,I make $10k/week! Ask me how 💵💵💵,38,852,0,25,0,0,1
nktv1348uim,Adult content 🔞 Link below for more,0,5588,3,7,1,0,1
olivia_taylor,📸 baking | Travel addict | Berlin native,79,287,14,682,1,0,0
hazel.smith.official,Wanderlust 🌎 | photography | swimming | Tokyo,347,470,46,1172,1,1,0
xnokku3s710nusg9,Want to lose 20lbs fast?? DM me!!!,14,455,0,35,1,1,1
grsr3337jtb,Invest in crypto NOW! Double your money! 🚀🚀🚀,0,2390,1,31,1,1,1
npj61526752,Follow 4 Follow! Like 4 Like! 💯💯💯,53,2067,1,20,1,1,1
real_mxzqpn5396,,42,1551,1,2,0,1,1
ulqw2280dnc,,2,776,0,11,1,1,1
dylan_99,Dog parent 🐕 | Designer | travel fanatic,71,107,162,824,1,0,0
xnkdat5l0n2tnxhn,Make $5000/day working from home! Link below 👇,6,50,2,5,1,1,1
real_cbzbep7151,Crypto millionaire 💎🙌 Join my course!,97,928,4,2,0,0,1
real_kheefs8747,,0,1458,0,10,0,0,1
lincolnrodriguez,📸 running | Travel addict | Boston native,548,370,585,1193,1,1,0
dz61txsnhft4i26lh0,Click link in bio for FREE money 💰💰💰,12,1127,4,59,0,0,1
free_ohqwz_572,Free gift cards! Limited time offer! Click NOW!,22,5223,1,82,1,0,1
isabella_thomas,Doctor 💼 | Family first ❤️ | music,118,131,55,394,0,0,0
real_ieyruq1101,Follow me I follow back! F4F! 🔥🔥🔥,6,1080,8,7,0,0,1
madelynking,🎓 MIT alum | Consultant | Seattle,79,41,18,298,1,0,0
xip35t54gylbi18a,.,2,515,1,39,0,1,1
follow_me_723824,Free gift cards! Limited time offer! Click NOW!,17,50,2,15,1,1,1
ajv01875959,Buy followers cheap! DM for prices!,4,176,1,1,1,0,1
nijr3099jzb,Follow 4 Follow! Like 4 Like! 💯💯💯,0,1895,0,34,1,0,1
the_dylan,Marketing Lead 💼 | Family first ❤️ | cycling,39,94,35,630,1,1,0
isaac.moore,📸 surfing | Travel addict | Sydney native,1222,125,12,1023,1,1,0
noah_92,Wanderlust 🌎 | fitness | swimming | Denver,14,360,4,4237,1,1,0
charlotte_brown,Dreamer & doer ✨ | baking | Toronto,336,181,12,146,1,0,0
ryan_90,Living life one cooking at a time 🏔️,1709,88,80,719,1,1,0
hhua1670fvd,,10,80,0,16,1,1,1
follow_me_445618,I make $10k/week! Ask me how 💵💵💵,4,1546,0,87,0,0,1
miasanchez92,Doctor | skiing enthusiast | Living my best life ✨,114,176,3,910,1,1,0
hannahwhite24,Dog parent 🐕 | Architect | hiking fanatic,370,706,6,697,1,0,0
real_bpzhbh6026,....,22,50,0,4,1,1,1
james_flores,Spreading positivity ☀️ | Doctor | painting,291,267,2,2003,1,1,0
mia_95,Living life one photography at a time 🏔️,10,281,18,208,1,1,0
david.hill,Bookworm 📚 | camping | photography | Introvert at heart,708,257,119,1721,1,0,0
chloe.wilson,adventurous | gardening | fitness | Portland 📍,64,491,23,618,1,0,0
clairemartin22,📸 travel | Travel addict | Chicago native,345,51,15,676,1,1,0
the_matthew,Mom of 2 | cooking | Coffee addict ☕,35,69,58,1182,1,0,0
chloesanchez41,🎵 Music lover | Consultant | skateboarding,3948,614,66,293,1,0,0
free_oajry_962,....,16,1892,10,66,0,1,1
user571152,Adult content 🔞 Link below for more,24,1868,5,4,0,1,1
owenyoung40,Spreading positivity ☀️ | Nurse | cooking,601,914,54,1512,1,0,0
user352468,,10,112,3,30,0,1,1
real_dettsh4376,Free gift cards! Limited time offer! Click NOW!,1,337,3,8,0,1,1
kennedy_97,Accountant 💼 | Family first ❤️ | dance,3471,249,6,225,1,1,0
sebastian_moore,Dog parent 🐕 | Entrepreneur | reading fanatic,148,585,51,1161,0,1,0
dwma1295ybq,I make $10k/week! Ask me how 💵💵💵,27,50,2,1,0,1,1
llb77405196,.,39,731,3,121,1,1,1
follow_me_867584,.,8,413,4,40,0,1,1
the_claire,Creative mind | writing | photography | Let's connect!,708,165,186,778,1,1,0
olivia_97,Spreading positivity ☀️ | Marketing Lead | gaming,220,55,117,1125,1,0,0
jaydenmartinez61,"Life is short, eat dessert first 🍰 | photography",432,361,45,560,1,0,0
follow_me_844098,Make $5000/day working from home! Link below 👇,14,234,1,9,0,1,1
sophia_95,Dreamer & doer ✨ | skiing | Berlin,1459,468,5,943,1,0,0
the_william,Spreading positivity ☀️ | Nurse | writing,1068,958,111,816,1,0,0
real_ctqoqn8682,Follow 4 Follow! Like 4 Like! 💯💯💯,12,119,0,32,0,1,1
user951881,CHEAP followers and likes! Best prices! DM!!!,45,82,8,38,1,1,1
x8l6m5wk3bneguar,Crypto millionaire 💎🙌 Join my course!,15,96,3,11,0,0,1
alexander.moore,Spreading positivity ☀️ | Software Engineer | yoga,785,289,205,1745,1,0,0
